Rk,G,Date,Age,Tm,,Opp,WorL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019/10/24,31-224,GSW,,LAC,L (-19),1,29:48:00,8,20,0.4,2,11,0.182,5,5,1,1,3,4,4,1,0,8,3,23,8.4,-19
2,2,2019/10/27,31-227,GSW,@,OKC,L (-28),1,30:08:00,7,18,0.389,2,9,0.222,7,7,1,2,6,8,5,0,0,2,0,23,17.9,-30
3,3,2019/10/28,31-228,GSW,@,NOP,W (+11),1,31:00:00,9,17,0.529,4,10,0.4,4,4,1,1,2,3,11,3,0,1,5,26,26.7,32
4,4,2019/10/30,31-230,GSW,,PHO,L (-11),1,21:09,3,11,0.273,1,7,0.143,2,2,1,0,5,5,6,1,2,4,2,9,5.8,-13
5,,2019/11/1,31-232,GSW,,SAS,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
6,,2019/11/2,31-233,GSW,,CHO,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
7,,2019/11/4,31-235,GSW,,POR,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
8,,2019/11/6,31-237,GSW,@,HOU,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
9,,2019/11/8,31-239,GSW,@,MIN,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
10,,2019/11/9,31-240,GSW,@,OKC,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
11,,2019/11/11,31-242,GSW,,UTA,L (-14),Inactive,,,,,,,,,,,,,,,,,,,,,
12,,2019/11/13,31-244,GSW,@,LAL,L (-26),Inactive,,,,,,,,,,,,,,,,,,,,,
13,,2019/11/15,31-246,GSW,,BOS,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
14,,2019/11/17,31-248,GSW,@,NOP,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
15,,2019/11/19,31-250,GSW,@,MEM,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
16,,2019/11/20,31-251,GSW,@,DAL,L (-48),Inactive,,,,,,,,,,,,,,,,,,,,,
17,,2019/11/22,31-253,GSW,@,UTA,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
18,,2019/11/25,31-256,GSW,,OKC,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
19,,2019/11/27,31-258,GSW,,CHI,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
20,,2019/11/29,31-260,GSW,@,MIA,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
21,,2019/12/1,31-262,GSW,@,ORL,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
22,,2019/12/2,31-263,GSW,@,ATL,L (-25),Inactive,,,,,,,,,,,,,,,,,,,,,
23,,2019/12/4,31-265,GSW,@,CHO,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
24,,2019/12/6,31-267,GSW,@,CHI,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
25,,2019/12/9,31-270,GSW,,MEM,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
26,,2019/12/11,31-272,GSW,,NYK,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
27,,2019/12/13,31-274,GSW,@,UTA,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
28,,2019/12/15,31-276,GSW,,SAC,L (-21),Inactive,,,,,,,,,,,,,,,,,,,,,
29,,2019/12/18,31-279,GSW,@,POR,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
30,,2019/12/20,31-281,GSW,,NOP,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
31,,2019/12/23,31-284,GSW,,MIN,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
32,,2019/12/25,31-286,GSW,,HOU,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
33,,2019/12/27,31-288,GSW,,PHO,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
34,,2019/12/28,31-289,GSW,,DAL,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
35,,2019/12/31,31-292,GSW,@,SAS,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
36,,2020/1/2,31-294,GSW,@,MIN,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
37,,2020/1/4,31-296,GSW,,DET,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
38,,2020/1/6,31-298,GSW,@,SAC,L (-13),Inactive,,,,,,,,,,,,,,,,,,,,,
39,,2020/1/8,31-300,GSW,,MIL,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
40,,2020/1/10,31-302,GSW,@,LAC,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
41,,2020/1/12,31-304,GSW,@,MEM,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
42,,2020/1/14,31-306,GSW,,DAL,L (-27),Inactive,,,,,,,,,,,,,,,,,,,,,
43,,2020/1/16,31-308,GSW,,DEN,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
44,,2020/1/18,31-310,GSW,,ORL,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
45,,2020/1/20,31-312,GSW,@,POR,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
46,,2020/1/22,31-314,GSW,,UTA,L (-33),Inactive,,,,,,,,,,,,,,,,,,,,,
47,,2020/1/24,31-316,GSW,,IND,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
48,,2020/1/28,31-320,GSW,@,PHI,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
49,,2020/1/30,31-322,GSW,@,BOS,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
50,,2020/2/1,31-324,GSW,@,CLE,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
51,,2020/2/3,31-326,GSW,@,WAS,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
52,,2020/2/5,31-328,GSW,@,BRK,L (-41),Inactive,,,,,,,,,,,,,,,,,,,,,
53,,2020/2/8,31-331,GSW,,LAL,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
54,,2020/2/10,31-333,GSW,,MIA,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
55,,2020/2/12,31-335,GSW,@,PHO,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
56,,2020/2/20,31-343,GSW,,HOU,L (-30),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
57,,2020/2/23,31-346,GSW,,NOP,L (-14),Inactive,,,,,,,,,,,,,,,,,,,,,
58,,2020/2/25,31-348,GSW,,SAC,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
59,,2020/2/27,31-350,GSW,,LAL,L (-30),Inactive,,,,,,,,,,,,,,,,,,,,,
60,,2020/2/29,31-352,GSW,@,PHO,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
61,,2020/3/1,31-353,GSW,,WAS,L (-14),Inactive,,,,,,,,,,,,,,,,,,,,,
62,,2020/3/3,31-355,GSW,@,DEN,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
63,5,2020/3/5,31-357,GSW,,TOR,L (-8),1,27:14:00,6,16,0.375,3,12,0.25,8,8,1,0,6,6,7,0,0,1,1,23,19.5,-13
64,,2020/3/7,31-359,GSW,,PHI,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
65,,2020/3/10,31-362,GSW,,LAC,L (-24),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
